,dia_semana,qtd,ano
0,Domingo,45193,2007
1,Domingo,45470,2008
2,Domingo,50251,2009
3,Domingo,60461,2010
4,Domingo,63647,2011
5,Domingo,61200,2012
6,Domingo,60237,2013
7,Domingo,55106,2014
8,Domingo,42530,2015
9,Domingo,36850,2016
10,Domingo,37737,2017
11,Domingo,29951,2018
12,Domingo,29679,2019
13,Domingo,26711,2020
14,Domingo,27559,2021
15,Domingo,29183,2022
16,Domingo,30585,2023
17,Domingo,20307,2024
18,Segunda-feira,35779,2007
19,Segunda-feira,40076,2008
20,Segunda-feira,46274,2009
21,Segunda-feira,53859,2010
22,Segunda-feira,56226,2011
23,Segunda-feira,54678,2012
24,Segunda-feira,56455,2013
25,Segunda-feira,51149,2014
26,Segunda-feira,37412,2015
27,Segunda-feira,28810,2016
28,Segunda-feira,30056,2017
29,Segunda-feira,24023,2018
30,Segunda-feira,23639,2019
31,Segunda-feira,21625,2020
32,Segunda-feira,22157,2021
33,Segunda-feira,22904,2022
34,Segunda-feira,25078,2023
35,Segunda-feira,17913,2024
36,Terça-feira,32758,2007
37,Terça-feira,37436,2008
38,Terça-feira,42250,2009
39,Terça-feira,49259,2010
40,Terça-feira,51507,2011
41,Terça-feira,49236,2012
42,Terça-feira,51865,2013
43,Terça-feira,46557,2014
44,Terça-feira,33309,2015
45,Terça-feira,25368,2016
46,Terça-feira,26696,2017
47,Terça-feira,22022,2018
48,Terça-feira,21689,2019
49,Terça-feira,19848,2020
50,Terça-feira,20026,2021
51,Terça-feira,20469,2022
52,Terça-feira,22459,2023
53,Terça-feira,16047,2024
54,Quarta-feira,33590,2007
55,Quarta-feira,39644,2008
56,Quarta-feira,43531,2009
57,Quarta-feira,51435,2010
58,Quarta-feira,52898,2011
59,Quarta-feira,50631,2012
60,Quarta-feira,52821,2013
61,Quarta-feira,48410,2014
62,Quarta-feira,34686,2015
63,Quarta-feira,26388,2016
64,Quarta-feira,27532,2017
65,Quarta-feira,22811,2018
66,Quarta-feira,21720,2019
67,Quarta-feira,20590,2020
68,Quarta-feira,20881,2021
69,Quarta-feira,21210,2022
70,Quarta-feira,23380,2023
71,Quarta-feira,16840,2024
72,Quinta-feira,35311,2007
73,Quinta-feira,39672,2008
74,Quinta-feira,46628,2009
75,Quinta-feira,53063,2010
76,Quinta-feira,55830,2011
77,Quinta-feira,53840,2012
78,Quinta-feira,54832,2013
79,Quinta-feira,49676,2014
80,Quinta-feira,36455,2015
81,Quinta-feira,28003,2016
82,Quinta-feira,29693,2017
83,Quinta-feira,23584,2018
84,Quinta-feira,22871,2019
85,Quinta-feira,21125,2020
86,Quinta-feira,21421,2021
87,Quinta-feira,21281,2022
88,Quinta-feira,24167,2023
89,Quinta-feira,16640,2024
90,Sexta-feira,43047,2007
91,Sexta-feira,48934,2008
92,Sexta-feira,55213,2009
93,Sexta-feira,65632,2010
94,Sexta-feira,66538,2011
95,Sexta-feira,66663,2012
96,Sexta-feira,67465,2013
97,Sexta-feira,60796,2014
98,Sexta-feira,42044,2015
99,Sexta-feira,34072,2016
100,Sexta-feira,34563,2017
101,Sexta-feira,27902,2018
102,Sexta-feira,27459,2019
103,Sexta-feira,25266,2020
104,Sexta-feira,26506,2021
105,Sexta-feira,26548,2022
106,Sexta-feira,28143,2023
107,Sexta-feira,19890,2024
108,Sábado,43461,2007
109,Sábado,47659,2008
110,Sábado,52996,2009
111,Sábado,61702,2010
112,Sábado,65643,2011
113,Sábado,60668,2012
114,Sábado,62145,2013
115,Sábado,56812,2014
116,Sábado,42616,2015
117,Sábado,36770,2016
118,Sábado,37960,2017
119,Sábado,29768,2018
120,Sábado,29047,2019
121,Sábado,27087,2020
122,Sábado,27744,2021
123,Sábado,29220,2022
124,Sábado,29543,2023
125,Sábado,20489,2024
