,br,qtd,ano
0,101,25947,2007
1,116,25292,2007
2,116,24704,2007
3,101,23408,2007
4,381,9119,2007
5,381,7537,2007
6,40,7367,2007
7,40,6657,2007
8,262,4841,2007
9,153,4722,2007
10,153,4598,2007
11,262,4559,2007
12,316,4522,2007
13,316,4311,2007
14,364,3739,2007
15,364,3489,2007
16,277,3289,2007
17,470,3277,2007
18,470,3142,2007
19,277,3042,2007
20,282,3014,2007
21,230,2829,2007
22,282,2805,2007
23,230,2790,2007
24,163,2277,2007
25,324,2187,2007
26,163,2176,2007
27,324,1972,2007
28,60,1892,2007
29,290,1727,2007
30,60,1605,2007
31,222,1510,2007
32,135,1421,2007
33,222,1418,2007
34,386,1406,2007
35,290,1388,2007
36,280,1385,2007
37,280,1377,2007
38,20,1351,2007
39,476,1343,2007
40,386,1341,2007
41,135,1312,2007
42,232,1220,2007
43,476,1204,2007
44,376,1194,2007
45,232,1186,2007
46,20,1173,2007
47,343,1158,2007
48,70,1147,2007
49,158,1134,2007
50,70,1114,2007
51,50,1094,2007
52,174,1089,2007
53,365,1084,2007
54,104,1056,2007
55,343,1022,2007
56,376,1010,2007
57,158,1001,2007
58,393,999,2007
59,174,992,2007
60,50,989,2007
61,104,967,2007
62,10,960,2007
63,393,958,2007
64,285,901,2007
65,10,867,2007
66,285,862,2007
67,365,804,2007
68,267,741,2007
69,304,697,2007
70,267,696,2007
71,242,694,2007
72,242,688,2007
73,304,664,2007
74,392,606,2007
75,459,597,2007
76,319,585,2007
77,392,583,2007
78,459,570,2007
79,407,556,2007
80,110,533,2007
81,407,514,2007
82,319,481,2007
83,110,472,2007
84,356,438,2007
85,235,411,2007
86,235,387,2007
87,251,377,2007
88,356,349,2007
89,226,328,2007
90,287,324,2007
91,408,320,2007
92,251,292,2007
93,287,290,2007
94,465,278,2007
95,465,264,2007
96,452,262,2007
97,423,259,2007
98,408,254,2007
99,423,247,2007
100,226,247,2007
101,452,245,2007
102,428,244,2007
103,259,241,2007
104,259,237,2007
105,373,234,2007
106,293,233,2007
107,354,231,2007
108,373,229,2007
109,601,223,2007
110,428,215,2007
111,471,214,2007
112,354,213,2007
113,146,205,2007
114,414,197,2007
115,406,196,2007
116,293,193,2007
117,367,188,2007
118,472,181,2007
119,601,177,2007
120,367,177,2007
121,493,171,2007
122,210,169,2007
123,406,165,2007
124,471,154,2007
125,463,150,2007
126,414,149,2007
127,472,145,2007
128,146,141,2007
129,450,132,2007
130,463,132,2007
131,450,129,2007
132,493,116,2007
133,210,113,2007
134,424,110,2007
135,427,109,2007
136,405,104,2007
137,401,96,2007
138,317,88,2007
139,405,88,2007
140,469,87,2007
141,427,86,2007
142,424,86,2007
143,317,83,2007
144,401,75,2007
145,156,73,2007
146,605,73,2007
147,469,70,2007
148,361,69,2007
149,488,67,2007
150,468,65,2007
151,156,64,2007
152,460,64,2007
153,605,63,2007
154,468,62,2007
155,330,55,2007
156,460,53,2007
157,80,53,2007
158,410,51,2007
159,480,50,2007
160,488,50,2007
161,402,46,2007
162,410,46,2007
163,480,46,2007
164,80,45,2007
165,361,43,2007
166,418,42,2007
167,402,39,2007
168,418,39,2007
169,495,38,2007
170,330,36,2007
171,412,34,2007
172,495,32,2007
173,377,28,2007
174,308,25,2007
175,377,21,2007
176,412,21,2007
177,416,19,2007
178,419,19,2007
179,(null),15,2007
180,308,14,2007
181,432,12,2007
182,432,9,2007
183,416,9,2007
184,404,8,2007
185,419,8,2007
186,485,6,2007
187,425,5,2007
188,429,4,2007
189,425,4,2007
190,473,4,2007
191,429,4,2007
192,604,2,2007
193,473,2,2007
194,485,2,2007
195,433,1,2007
196,404,1,2007
0,101,36838,2008
1,116,36661,2008
2,116,18042,2008
3,101,17064,2008
4,381,13538,2008
5,40,10374,2008
6,153,7306,2008
7,262,6779,2008
8,316,6648,2008
9,381,6181,2008
10,364,5530,2008
11,40,4802,2008
12,277,4778,2008
13,230,4491,2008
14,470,4174,2008
15,282,3756,2008
16,153,3715,2008
17,163,3350,2008
18,316,3316,2008
19,262,3233,2008
20,364,3149,2008
21,324,3041,2008
22,476,2817,2008
23,60,2630,2008
24,277,2503,2008
25,290,2243,2008
26,230,2239,2008
27,282,2191,2008
28,222,2178,2008
29,376,2172,2008
30,135,2128,2008
31,470,2113,2008
32,386,2094,2008
33,20,1945,2008
34,163,1821,2008
35,232,1778,2008
36,324,1720,2008
37,70,1711,2008
38,280,1697,2008
39,393,1611,2008
40,104,1483,2008
41,50,1468,2008
42,343,1460,2008
43,365,1458,2008
44,158,1433,2008
45,242,1347,2008
46,60,1301,2008
47,476,1248,2008
48,174,1236,2008
49,10,1210,2008
50,285,1197,2008
51,222,1144,2008
52,386,1118,2008
53,290,1050,2008
54,267,1049,2008
55,319,1025,2008
56,135,976,2008
57,158,946,2008
58,232,904,2008
59,280,852,2008
60,304,838,2008
61,407,808,2008
62,70,806,2008
63,392,783,2008
64,343,783,2008
65,110,776,2008
66,104,776,2008
67,393,773,2008
68,20,766,2008
69,376,747,2008
70,50,734,2008
71,365,729,2008
72,459,723,2008
73,356,642,2008
74,10,623,2008
75,235,600,2008
76,267,580,2008
77,242,579,2008
78,285,576,2008
79,251,570,2008
80,174,546,2008
81,392,479,2008
82,408,466,2008
83,465,441,2008
84,407,433,2008
85,110,433,2008
86,423,414,2008
87,319,414,2008
88,452,405,2008
