,UF,Qtd,ano
0,MG,41199,2007
1,SC,30649,2007
2,RJ,24143,2007
3,RS,22215,2007
4,SP,21729,2007
5,BA,17444,2007
6,PR,14903,2007
7,ES,13275,2007
8,GO,11749,2007
9,PE,10164,2007
10,PA,6881,2007
11,RN,6662,2007
12,PB,5905,2007
13,MT,5633,2007
14,MS,5304,2007
15,CE,4910,2007
16,MA,4678,2007
17,RO,4517,2007
18,PI,3808,2007
19,AL,3580,2007
20,DF,2730,2007
21,SE,2628,2007
22,TO,1550,2007
23,RR,1199,2007
24,AC,766,2007
25,AM,484,2007
26,AP,419,2007
27,(null),15,2007
0,MG,45174,2008
1,SC,32614,2008
2,RJ,28163,2008
3,SP,24021,2008
4,RS,23504,2008
5,PR,19421,2008
6,BA,18910,2008
7,ES,13657,2008
8,GO,13543,2008
9,PE,11604,2008
10,PA,7360,2008
11,PB,7030,2008
12,MT,6811,2008
13,MS,6237,2008
14,RN,6164,2008
15,CE,5996,2008
16,RO,5513,2008
17,MA,5198,2008
18,PI,4178,2008
19,AL,3983,2008
20,SE,2810,2008
21,DF,2524,2008
22,TO,1760,2008
23,AC,845,2008
24,RR,844,2008
25,AM,521,2008
26,AP,498,2008
27,(null),8,2008
0,MG,50424,2009
1,SC,37248,2009
2,PR,31926,2009
3,RJ,29716,2009
4,SP,24474,2009
5,RS,24442,2009
6,BA,19833,2009
7,GO,15621,2009
8,ES,14448,2009
9,PE,13174,2009
10,PA,7862,2009
11,MT,7684,2009
12,PB,7592,2009
13,RO,7471,2009
14,RN,7189,2009
15,MS,6618,2009
16,CE,6490,2009
17,MA,5243,2009
18,PI,4624,2009
19,AL,4269,2009
20,DF,3085,2009
21,SE,2706,2009
22,TO,2157,2009
23,AC,973,2009
24,RR,793,2009
25,AM,639,2009
26,AP,442,2009
0,MG,54901,2010
1,PR,44087,2010
2,SC,40746,2010
3,RJ,34479,2010
4,RS,31237,2010
5,SP,26076,2010
6,BA,22073,2010
7,GO,19074,2010
8,ES,16941,2010
9,PE,16846,2010
10,PA,9897,2010
11,CE,8671,2010
12,RN,8553,2010
13,MS,8515,2010
14,PB,8051,2010
15,RO,8031,2010
16,MT,7989,2010
17,MA,6183,2010
18,PI,5476,2010
19,AL,5427,2010
20,SE,3310,2010
21,DF,3171,2010
22,TO,2573,2010
23,AC,1103,2010
24,AM,878,2010
25,RR,684,2010
26,AP,439,2010
0,MG,55095,2011
1,PR,48588,2011
2,SC,40368,2011
3,RJ,38002,2011
4,RS,31939,2011
5,SP,27654,2011
6,BA,23756,2011
7,GO,18361,2011
8,PE,18260,2011
9,ES,17017,2011
10,PA,10213,2011
11,RO,9165,2011
12,RN,8828,2011
13,CE,8610,2011
14,MT,8241,2011
15,MS,8238,2011
16,PB,8202,2011
17,MA,6917,2011
18,PI,5837,2011
19,AL,5431,2011
20,DF,3815,2011
21,SE,3667,2011
22,TO,2524,2011
23,AC,1248,2011
24,AM,873,2011
25,RR,737,2011
26,AP,703,2011
0,MG,54011,2012
1,PR,45225,2012
2,SC,38662,2012
3,RJ,36834,2012
4,RS,30298,2012
5,SP,27805,2012
6,BA,23349,2012
7,GO,17752,2012
8,ES,16597,2012
9,PE,16042,2012
10,MT,9151,2012
11,PA,8879,2012
12,PB,8542,2012
13,CE,8496,2012
14,RO,8469,2012
15,RN,8337,2012
16,MS,7738,2012
17,MA,6731,2012
18,PI,5758,2012
19,AL,5104,2012
20,SE,3668,2012
21,DF,3419,2012
22,TO,2780,2012
23,AC,1302,2012
24,RR,661,2012
25,AM,659,2012
26,AP,639,2012
27,(null),8,2012
0,MG,54782,2013
1,PR,43963,2013
2,SC,40330,2013
3,RJ,36543,2013
