,br,qtd,ano
0,101,25947,2007
1,101,36838,2008
2,101,60484,2009
3,101,67859,2010
4,101,71097,2011
5,101,45275,2012
6,101,69165,2013
7,101,65746,2014
8,101,45564,2015
9,101,31645,2016
10,101,32728,2017
11,101,27344,2018
12,101,27411,2019
13,101,25286,2020
14,101,27183,2021
15,101,26584,2022
16,101,28909,2023
17,116,25292,2007
18,116,36661,2008
19,116,57001,2009
20,116,65243,2010
21,116,68792,2011
22,116,44374,2012
23,116,67360,2013
24,116,61320,2014
25,116,42247,2015
26,116,32445,2016
27,116,32617,2017
28,116,24769,2018
29,116,24252,2019
30,116,22640,2020
31,116,24001,2021
32,116,24929,2022
33,116,28354,2023
34,381,9119,2007
35,381,13538,2008
36,381,22466,2009
37,381,22521,2010
38,381,22472,2011
39,381,15983,2012
40,381,23837,2013
41,381,18537,2014
42,381,12582,2015
43,381,11162,2016
44,381,11963,2017
45,381,9189,2018
46,381,8841,2019
47,381,7891,2020
48,381,7571,2021
49,381,7966,2022
50,381,9059,2023
51,40,7367,2007
52,40,10374,2008
53,40,16377,2009
54,40,20056,2010
55,40,21233,2011
56,40,13014,2012
57,40,19847,2013
58,40,17058,2014
59,40,12206,2015
60,40,10015,2016
61,40,10040,2017
62,40,8203,2018
63,40,8267,2019
64,40,7566,2020
65,40,7745,2021
66,40,7764,2022
67,40,8698,2023
68,153,4722,2007
69,153,7306,2008
70,153,12091,2009
71,153,14943,2010
72,153,15428,2011
73,153,10454,2012
74,153,15823,2013
75,153,14394,2014
76,153,10923,2015
77,153,9185,2016
78,153,10096,2017
79,153,7889,2018
80,153,7245,2019
81,153,7057,2020
82,153,6825,2021
83,153,7216,2022
84,153,7589,2023
85,163,2277,2007
86,163,3350,2008
87,163,5911,2009
88,163,7417,2010
89,163,8811,2011
90,163,6038,2012
91,163,9729,2013
92,163,8591,2014
93,163,7408,2015
94,163,7013,2016
95,163,7649,2017
96,163,6077,2018
97,163,5855,2019
98,163,5705,2020
99,163,5994,2021
100,163,7041,2022
101,163,7057,2023
102,364,3739,2007
103,364,5530,2008
104,364,10656,2009
105,364,11364,2010
106,364,12765,2011
107,364,8748,2012
108,364,12501,2013
109,364,10961,2014
110,364,9009,2015
111,364,7248,2016
112,364,9012,2017
113,364,7559,2018
114,364,6576,2019
115,364,6174,2020
116,364,6190,2021
117,364,5722,2022
118,364,6038,2023
119,376,1194,2007
120,376,2172,2008
121,376,7571,2009
122,376,11747,2010
123,376,12318,2011
124,376,7374,2012
125,376,10988,2013
126,376,9269,2014
127,376,7403,2015
128,376,6004,2016
129,376,6811,2017
130,376,5431,2018
131,376,4824,2019
132,376,4148,2020
133,376,4580,2021
134,376,4567,2022
135,376,4837,2023
136,262,4841,2007
137,262,6779,2008
138,262,10803,2009
139,262,12061,2010
140,262,11602,2011
141,262,7161,2012
142,262,11596,2013
143,262,10432,2014
144,262,6861,2015
145,262,6188,2016
146,262,6064,2017
147,262,4853,2018
148,262,4816,2019
149,262,4468,2020
150,262,4457,2021
151,262,4279,2022
152,262,4505,2023
153,230,2829,2007
154,230,4491,2008
155,230,7225,2009
156,230,7960,2010
157,230,7788,2011
158,230,5245,2012
159,230,8583,2013
160,230,7146,2014
161,230,5866,2015
162,230,4043,2016
163,230,4023,2017
164,230,3409,2018
165,230,3219,2019
166,230,2987,2020
167,230,3179,2021
168,230,3482,2022
169,230,3662,2023
170,470,3142,2007
171,470,4174,2008
172,470,7521,2009
173,470,8111,2010
174,470,7888,2011
175,470,4487,2012
176,470,7150,2013
177,470,7048,2014
178,470,5695,2015
179,470,5009,2016
180,470,5484,2017
181,470,4578,2018
182,470,4847,2019
183,470,3816,2020
184,470,3756,2021
185,470,3687,2022
186,470,3630,2023
187,316,4311,2007
188,316,6648,2008
189,316,10609,2009
190,316,13488,2010
191,316,14140,2011
192,316,8043,2012
193,316,11764,2013
194,316,10006,2014
195,316,6805,2015
196,316,5197,2016
197,316,5009,2017
198,316,4073,2018
199,316,2795,2019
200,316,2944,2020
201,316,2844,2021
202,316,2810,2022
203,316,3220,2023
204,282,3014,2007
205,282,3756,2008
206,282,6372,2009
207,282,7211,2010
208,282,7107,2011
209,282,4637,2012
210,282,6913,2013
211,282,6999,2014
212,282,5338,2015
213,282,4265,2016
214,282,4528,2017
215,282,3807,2018
216,282,3805,2019
217,282,3158,2020
218,282,2929,2021
219,282,2997,2022
220,282,3155,2023
221,70,1114,2007
222,70,1711,2008
223,70,2598,2009
224,70,2760,2010
225,70,2993,2011
