causa_acidente,qtd,ano
Falta de atenção,94264,2007
Falta de atenção,104291,2008
Falta de atenção,117342,2009
Falta de atenção,138575,2010
Falta de atenção,144406,2011
Falta de atenção,138483,2012
Falta de atenção,142691,2013
Falta de atenção,125350,2014
Falta de atenção,85996,2015
Falta de atenção,64049,2016
Outras,92061,2007
Outras,100218,2008
Outras,111412,2009
Outras,114528,2010
Outras,112948,2011
Outras,99136,2012
Outras,87577,2013
Outras,78090,2014
Outras,58312,2015
Outras,50179,2016
Não guardar distância de segurança,19959,2007
Não guardar distância de segurança,24120,2008
Não guardar distância de segurança,29054,2009
Não guardar distância de segurança,39616,2010
Não guardar distância de segurança,43667,2011
Não guardar distância de segurança,47608,2012
Não guardar distância de segurança,55535,2013
Não guardar distância de segurança,50457,2014
Não guardar distância de segurança,30528,2015
Não guardar distância de segurança,18299,2016
Não guardar distância de segurança,18024,2017
Não guardar distância de segurança,13027,2018
Não guardar distância de segurança,12909,2019
Não guardar distância de segurança,11449,2020
Velocidade incompatível,11538,2007
Velocidade incompatível,14356,2008
Velocidade incompatível,18664,2009
Velocidade incompatível,24888,2010
Velocidade incompatível,29473,2011
Velocidade incompatível,30309,2012
Velocidade incompatível,35275,2013
Velocidade incompatível,33466,2014
Velocidade incompatível,27369,2015
Velocidade incompatível,24231,2016
Defeito mecânico em veículo,10351,2007
Defeito mecânico em veículo,11311,2008
Defeito mecânico em veículo,11409,2009
Defeito mecânico em veículo,13745,2010
Defeito mecânico em veículo,13521,2011
Defeito mecânico em veículo,13181,2012
Defeito mecânico em veículo,13894,2013
Defeito mecânico em veículo,13228,2014
Defeito mecânico em veículo,10995,2015
Defeito mecânico em veículo,10278,2016
Desobediência à sinalização,9828,2007
Desobediência à sinalização,11262,2008
Desobediência à sinalização,12679,2009
Desobediência à sinalização,17677,2010
Desobediência à sinalização,19280,2011
Desobediência à sinalização,19451,2012
Desobediência à sinalização,20038,2013
Desobediência à sinalização,20334,2014
Desobediência à sinalização,15344,2015
Desobediência à sinalização,12888,2016
Ultrapassagem indevida,7936,2007
Ultrapassagem indevida,8470,2008
Ultrapassagem indevida,8720,2009
Ultrapassagem indevida,11247,2010
Ultrapassagem indevida,12071,2011
Ultrapassagem indevida,11947,2012
Ultrapassagem indevida,12627,2013
Ultrapassagem indevida,11945,2014
Ultrapassagem indevida,8797,2015
Ultrapassagem indevida,7142,2016
Ingestão de álcool,6915,2007
Ingestão de álcool,7809,2008
Ingestão de álcool,10554,2009
Ingestão de álcool,15024,2010
Ingestão de álcool,16416,2011
Ingestão de álcool,16501,2012
Ingestão de álcool,16600,2013
Ingestão de álcool,16102,2014
Ingestão de álcool,14631,2015
Ingestão de álcool,14216,2016
Animais na Pista,6089,2007
Animais na Pista,6861,2008
Animais na Pista,6226,2009
Animais na Pista,7434,2010
Animais na Pista,7429,2011
Animais na Pista,7266,2012
Animais na Pista,7469,2013
Animais na Pista,5858,2014
Animais na Pista,4980,2015
Animais na Pista,4447,2016
Animais na Pista,4933,2017
Animais na Pista,3100,2018
Animais na Pista,2959,2019
Animais na Pista,2784,2020
Animais na Pista,2258,2021
Animais na Pista,2483,2022
Animais na Pista,2579,2023
Animais na Pista,2027,2024
Dormindo,5963,2007
Dormindo,6198,2008
Dormindo,6260,2009
Dormindo,8187,2010
Dormindo,7891,2011
