tipo_veiculo,qtd,ano
Automóvel,128522,2007
Automóvel,142519,2008
Automóvel,167588,2009
Automóvel,197480,2010
Automóvel,204528,2011
Automóvel,198035,2012
Automóvel,202673,2013
Automóvel,185119,2014
Automóvel,131306,2015
Automóvel,100674,2016
Automóvel,93300,2017
Automóvel,70507,2018
Automóvel,68394,2019
Automóvel,62019,2020
Automóvel,62205,2021
Automóvel,63437,2022
Automóvel,67164,2023
Automóvel,45512,2024
Caminhão,31451,2007
Caminhão,34741,2008
Caminhão,35420,2009
Caminhão,40574,2010
Caminhão,42076,2011
Caminhão,39138,2012
Caminhão,39253,2013
Caminhão,34204,2014
Caminhão,22437,2015
Caminhão,16644,2016
Caminhão,14998,2017
Caminhão,11055,2018
Caminhão,10755,2019
Caminhão,10453,2020
Caminhão,10542,2021
Caminhão,9886,2022
Caminhão,10622,2023
Caminhão,7381,2024
Caminhão-Trator,26541,2007
Caminhão-Trator,29938,2008
Caminhão-Trator,32108,2009
Caminhão-Trator,39480,2010
Caminhão-Trator,41884,2011
Caminhão-Trator,40196,2012
Caminhão-Trator,42122,2013
Caminhão-Trator,36451,2014
Caminhão-Trator,24459,2015
Caminhão-Trator,18055,2016
Motocicletas,24184,2007
Motocicletas,27474,2008
Motocicletas,31962,2009
Motocicletas,37045,2010
Motocicletas,39619,2011
Motocicletas,38847,2012
Motocicletas,37714,2013
Motocicletas,35744,2014
Motocicletas,31674,2015
Motocicletas,30681,2016
Caminhonete,14718,2007
Caminhonete,17819,2008
Caminhonete,21092,2009
Caminhonete,26055,2010
Caminhonete,29240,2011
Caminhonete,30005,2012
Caminhonete,32196,2013
Caminhonete,30488,2014
Caminhonete,22602,2015
Caminhonete,18463,2016
Caminhonete,18170,2017
Caminhonete,14429,2018
Caminhonete,13796,2019
Caminhonete,12800,2020
Caminhonete,13755,2021
Caminhonete,14043,2022
Caminhonete,14984,2023
Caminhonete,10577,2024
Camioneta,12577,2007
Camioneta,12373,2008
Camioneta,12879,2009
Camioneta,13790,2010
Camioneta,13406,2011
Camioneta,12223,2012
Camioneta,12435,2013
Camioneta,11269,2014
Camioneta,7907,2015
Camioneta,6710,2016
Camioneta,5175,2017
Camioneta,4030,2018
Camioneta,4019,2019
Camioneta,3481,2020
Camioneta,3730,2021
Camioneta,895,2022
Camioneta,3231,2024
Ônibus,12109,2007
Ônibus,14029,2008
Ônibus,14643,2009
Ônibus,16990,2010
Ônibus,16815,2011
Ônibus,15019,2012
Ônibus,16062,2013
Ônibus,13341,2014
Ônibus,10211,2015
Ônibus,8303,2016
Ônibus,6950,2017
Ônibus,6442,2018
Ônibus,6863,2019
Ônibus,3464,2020
Ônibus,4757,2021
Ônibus,6649,2022
Ônibus,7599,2023
Ônibus,4963,2024
Microônibus,3914,2007
Microônibus,3811,2008
Microônibus,3711,2009
Microônibus,3944,2010
Microônibus,4183,2011
Microônibus,3998,2012
Microônibus,3531,2013
Microônibus,3133,2014
Microônibus,2552,2015
Microônibus,2018,2016
Bicicleta,3696,2007
Bicicleta,3732,2008
Bicicleta,3514,2009
Bicicleta,3567,2010
Bicicleta,3268,2011
Bicicleta,2864,2012
Bicicleta,2559,2013
Bicicleta,2215,2014
Bicicleta,2072,2015
Bicicleta,2036,2016
Bicicleta,1935,2017
Bicicleta,1985,2018
Bicicleta,2005,2019
Bicicleta,2110,2020
Bicicleta,2053,2021
Bicicleta,1931,2022
Bicicleta,1910,2023
Bicicleta,1310,2024
Motoneta,2081,2007
Motoneta,2540,2008
Motoneta,3027,2009
Motoneta,3425,2010
Motoneta,3693,2011
Motoneta,3834,2012
Motoneta,3859,2013
Motoneta,3711,2014
Motoneta,3524,2015
Motoneta,3635,2016
Motoneta,3605,2017
Motoneta,3354,2018
Motoneta,3690,2019
Motoneta,3108,2020
Motoneta,3305,2021
Motoneta,3558,2022
Motoneta,3501,2023
Motoneta,2611,2024
