br,qtd,ano
BR-101,25947,2007
BR-101,36838,2008
BR-101,60484,2009
BR-101,67859,2010
BR-101,71097,2011
BR-101,45275,2012
BR-101,69165,2013
BR-101,65746,2014
BR-101,45564,2015
BR-101,31645,2016
BR-101,32728,2017
BR-101,27344,2018
BR-101,27411,2019
BR-101,25286,2020
BR-101,27183,2021
BR-101,26584,2022
BR-101,28909,2023
BR-101,20890,2024
BR-116,25292,2007
BR-116,36661,2008
BR-116,57001,2009
BR-116,65243,2010
BR-116,68792,2011
BR-116,44374,2012
BR-116,67360,2013
BR-116,61320,2014
BR-116,42247,2015
BR-116,32445,2016
BR-116,32617,2017
BR-116,24769,2018
BR-116,24252,2019
BR-116,226,2020
BR-116,24001,2021
BR-116,24929,2022
BR-116,28354,2023
BR-116,19415,2024
BR-381,9119,2007
BR-381,13538,2008
BR-381,22466,2009
BR-381,22521,2010
BR-381,22472,2011
BR-381,15983,2012
BR-381,23837,2013
BR-381,18537,2014
BR-381,12582,2015
BR-381,11162,2016
BR-381,11963,2017
BR-381,9189,2018
BR-381,8841,2019
BR-381,7891,2020
BR-381,7571,2021
BR-381,7966,2022
BR-381,9059,2023
BR-381,6007,2024
BR-40,7367,2007
BR-40,10374,2008
BR-40,16377,2009
BR-40,20056,2010
BR-40,21233,2011
BR-40,13014,2012
BR-40,19847,2013
BR-40,17058,2014
BR-40,12206,2015
BR-40,10015,2016
BR-40,10040,2017
BR-40,8203,2018
BR-40,8267,2019
BR-40,7566,2020
BR-40,7745,2021
BR-40,7764,2022
BR-40,8698,2023
BR-40,5676,2024
BR-153,4722,2007
BR-153,7306,2008
BR-153,12091,2009
BR-153,14943,2010
BR-153,15428,2011
BR-153,10454,2012
BR-153,15823,2013
BR-153,14394,2014
BR-153,10923,2015
BR-153,9185,2016
BR-153,10096,2017
BR-153,7889,2018
BR-153,7245,2019
BR-153,7057,2020
BR-153,6825,2021
BR-153,7216,2022
BR-153,7589,2023
BR-153,4923,2024
BR-364,3739,2007
BR-364,5530,2008
BR-364,10656,2009
BR-364,11364,2010
BR-364,12765,2011
BR-364,8748,2012
BR-364,12501,2013
BR-364,10961,2014
BR-364,9009,2015
BR-364,7248,2016
BR-364,9012,2017
BR-364,7559,2018
BR-364,6576,2019
BR-364,6174,2020
BR-364,6190,2021
BR-364,5722,2022
BR-364,6038,2023
BR-364,4549,2024
BR-262,4841,2007
BR-262,6779,2008
BR-262,10803,2009
BR-262,12061,2010
BR-262,11602,2011
BR-262,7161,2012
BR-262,11596,2013
BR-262,10432,2014
BR-262,6861,2015
BR-262,6188,2016
BR-262,6064,2017
BR-262,4853,2018
BR-262,4816,2019
BR-262,4468,2020
BR-262,4457,2021
BR-262,4279,2022
BR-262,4505,2023
BR-262,3280,2024
BR-277,3289,2007
BR-277,4778,2008
BR-277,8996,2009
BR-277,11224,2010
BR-277,12315,2011
BR-277,7899,2012
BR-277,11442,2013
BR-277,9560,2014
BR-277,7192,2015
BR-277,6025,2016
BR-277,6923,2017
BR-277,5131,2018
BR-277,5127,2019
BR-277,4501,2020
BR-277,4903,2021
BR-277,5254,2022
BR-277,6023,2023
BR-277,4068,2024
BR-163,2277,2007
BR-163,3350,2008
BR-163,5911,2009
BR-163,7417,2010
BR-163,8811,2011
BR-163,6038,2012
BR-163,9729,2013
BR-163,8591,2014
BR-163,7408,2015
BR-163,7013,2016
BR-163,7649,2017
BR-163,6077,2018
BR-163,5855,2019
BR-163,5705,2020
BR-163,5994,2021
BR-163,7041,2022
BR-163,7057,2023
BR-163,5111,2024
BR-316,4311,2007
BR-316,6648,2008
BR-316,10609,2009
BR-316,13488,2010
BR-316,141,2011
BR-316,8043,2012
BR-316,11764,2013
BR-316,10006,2014
BR-316,6805,2015
BR-316,5197,2016
BR-316,5009,2017
BR-316,4073,2018
BR-316,2795,2019
BR-316,2944,2020
BR-316,2844,2021
BR-316,2810,2022
BR-316,3220,2023
BR-316,2166,2024
