,Unnamed: 0,causa_acidente,qtd,ano
0,0,Falta de Atenção à Condução,94264,2007
1,1,Falta de Atenção à Condução,104291,2008
2,2,Falta de Atenção à Condução,117342,2009
3,3,Falta de Atenção à Condução,138575,2010
4,4,Falta de Atenção à Condução,144406,2011
5,5,Falta de Atenção à Condução,138483,2012
6,6,Falta de Atenção à Condução,142691,2013
7,7,Falta de Atenção à Condução,125350,2014
8,8,Falta de Atenção à Condução,85996,2015
9,9,Falta de Atenção à Condução,64049,2016
10,10,Outras,92061,2007
11,11,Outras,100218,2008
12,12,Outras,111412,2009
13,13,Outras,114528,2010
14,14,Outras,112948,2011
15,15,Outras,99136,2012
16,16,Outras,87577,2013
17,17,Outras,78090,2014
18,18,Outras,58312,2015
19,19,Outras,50179,2016
20,20,Não guardar distância de segurança,19959,2007
21,21,Não guardar distância de segurança,24120,2008
22,22,Não guardar distância de segurança,29054,2009
23,23,Não guardar distância de segurança,39616,2010
24,24,Não guardar distância de segurança,43667,2011
25,25,Não guardar distância de segurança,47608,2012
26,26,Não guardar distância de segurança,55535,2013
27,27,Não guardar distância de segurança,50457,2014
28,28,Não guardar distância de segurança,30528,2015
29,29,Não guardar distância de segurança,18299,2016
30,30,Não guardar distância de segurança,18024,2017
31,31,Não guardar distância de segurança,13027,2018
32,32,Não guardar distância de segurança,12909,2019
33,33,Não guardar distância de segurança,11449,2020
34,34,Velocidade Incompatível,11538,2007
35,35,Velocidade Incompatível,14356,2008
36,36,Velocidade Incompatível,18664,2009
37,37,Velocidade Incompatível,24888,2010
38,38,Velocidade Incompatível,29473,2011
39,39,Velocidade Incompatível,30309,2012
40,40,Velocidade Incompatível,35275,2013
41,41,Velocidade Incompatível,33466,2014
42,42,Velocidade Incompatível,27369,2015
43,43,Velocidade Incompatível,24231,2016
44,44,Defeito Mecânico no Veículo,10351,2007
45,45,Defeito Mecânico no Veículo,11311,2008
46,46,Defeito Mecânico no Veículo,11409,2009
47,47,Defeito Mecânico no Veículo,13745,2010
48,48,Defeito Mecânico no Veículo,13521,2011
49,49,Defeito Mecânico no Veículo,13181,2012
50,50,Defeito Mecânico no Veículo,13894,2013
51,51,Defeito Mecânico no Veículo,13228,2014
52,52,Defeito Mecânico no Veículo,10995,2015
53,53,Defeito Mecânico no Veículo,10278,2016
54,54,Desobediência à sinalização,9828,2007
55,55,Desobediência à sinalização,11262,2008
56,56,Desobediência à sinalização,12679,2009
57,57,Desobediência à sinalização,17677,2010
58,58,Desobediência à sinalização,19280,2011
59,59,Desobediência à sinalização,19451,2012
60,60,Desobediência à sinalização,20038,2013
61,61,Desobediência à sinalização,20334,2014
62,62,Desobediência à sinalização,15344,2015
63,63,Desobediência à sinalização,12888,2016
64,64,Ultrapassagem Indevida,7936,2007
65,65,Ultrapassagem Indevida,8470,2008
66,66,Ultrapassagem Indevida,8720,2009
