classificacao_acidente,qtd,ano
Sem Vítimas,138511,2007
Com Vítimas Feridas,111833,2007
Com Vítimas Fatais,18258,2007
Sem Vítimas,159267,2008
Com Vítimas Feridas,120499,2008
Com Vítimas Fatais,18428,2008
Sem Vítimas,182717,2009
Com Vítimas Feridas,133950,2009
Com Vítimas Fatais,19637,2009
Sem Vítimas,220117,2010
Com Vítimas Feridas,151082,2010
Com Vítimas Fatais,23031,2010
Sem Vítimas,230378,2011
Com Vítimas Feridas,157836,2011
Com Vítimas Fatais,22736,2011
Sem Vítimas,219346,2012
Com Vítimas Feridas,153102,2012
Com Vítimas Fatais,22914,2012
Sem Vítimas,225821,2013
Com Vítimas Feridas,155771,2013
Com Vítimas Fatais,22478,2013
Sem Vítimas,194022,2014
Com Vítimas Feridas,150742,2014
Com Vítimas Fatais,21811,2014
Com Vítimas Feridas,136605,2015
Sem Vítimas,112742,2015
Com Vítimas Fatais,17934,2015
Com Vítimas Feridas,132806,2016
Sem Vítimas,64864,2016
Com Vítimas Fatais,16711,2016
Com Vítimas Feridas,139263,2017
Sem Vítimas,66462,2017
Com Vítimas Fatais,18508,2017
Com Vítimas Feridas,129270,2018
Sem Vítimas,34257,2018
Com Vítimas Fatais,16531,2018
Com Vítimas Feridas,133672,2019
Sem Vítimas,25880,2019
Com Vítimas Fatais,16543,2019
Com Vítimas Feridas,121470,2020
Sem Vítimas,25475,2020
Com Vítimas Fatais,15303,2020
Com Vítimas Feridas,124127,2021
Sem Vítimas,25527,2021
Com Vítimas Fatais,16633,2021
Com Vítimas Feridas,127233,2022
Sem Vítimas,26332,2022
Com Vítimas Fatais,17247,2022
Com Vítimas Feridas,139581,2023
Sem Vítimas,25517,2023
Com Vítimas Fatais,18254,2023
Com Vítimas Feridas,97856,2024
Sem Vítimas,17750,2024
Com Vítimas Fatais,12517,2024
