dia_semana,qtd,ano
domingo,45193,2007
domingo,45470,2008
domingo,50251,2009
domingo,60461,2010
domingo,63647,2011
domingo,61200,2012
domingo,60237,2013
domingo,55106,2014
domingo,42530,2015
domingo,36850,2016
domingo,37737,2017
domingo,29951,2018
domingo,29679,2019
domingo,26711,2020
domingo,27559,2021
domingo,29183,2022
domingo,30585,2023
domingo,20307,2024
segunda,35779,2007
segunda,40076,2008
segunda,46274,2009
segunda,53859,2010
segunda,56226,2011
segunda,54678,2012
segunda,56455,2013
segunda,51149,2014
segunda,37412,2015
segunda,28810,2016
segunda-feira,30056,2017
segunda-feira,24023,2018
segunda-feira,23639,2019
segunda-feira,21625,2020
segunda-feira,22157,2021
segunda-feira,22904,2022
segunda-feira,25078,2023
segunda-feira,17913,2024
terça  ,32758,2007
terça  ,37436,2008
terça  ,42250,2009
terça  ,49259,2010
terça  ,51507,2011
terça  ,49236,2012
terça  ,51865,2013
terça  ,46557,2014
terça  ,33309,2015
terça,25368,2016
terça-feira,26696,2017
terça-feira,22022,2018
terça-feira,21689,2019
terça-feira,19848,2020
terça-feira,20026,2021
terça-feira,20469,2022
terça-feira,22459,2023
terça-feira,16047,2024
quarta ,33590,2007
quarta ,39644,2008
quarta ,43531,2009
quarta ,51435,2010
quarta ,52898,2011
quarta ,50631,2012
quarta ,52821,2013
quarta ,48410,2014
quarta ,34686,2015
quarta,26388,2016
quarta-feira,27532,2017
quarta-feira,22811,2018
quarta-feira,21720,2019
quarta-feira,20590,2020
quarta-feira,20881,2021
quarta-feira,21210,2022
quarta-feira,23380,2023
quarta-feira,16840,2024
quinta ,35311,2007
quinta ,39672,2008
quinta ,46628,2009
quinta ,53063,2010
quinta ,55830,2011
quinta ,53840,2012
quinta ,54832,2013
quinta ,49676,2014
quinta ,36455,2015
quinta,28003,2016
quinta-feira,29693,2017
quinta-feira,23584,2018
quinta-feira,22871,2019
quinta-feira,21125,2020
quinta-feira,21421,2021
quinta-feira,21281,2022
quinta-feira,24167,2023
quinta-feira,16640,2024
sexta  ,43047,2007
sexta  ,48934,2008
sexta  ,55213,2009
sexta  ,65632,2010
sexta  ,66538,2011
sexta  ,66663,2012
sexta  ,67465,2013
sexta  ,60796,2014
sexta  ,42044,2015
sexta,34072,2016
sexta-feira,34563,2017
sexta-feira,27902,2018
sexta-feira,27459,2019
sexta-feira,25266,2020
sexta-feira,26506,2021
sexta-feira,26548,2022
sexta-feira,28143,2023
sexta-feira,19890,2024
sábado ,43461,2007
sábado ,47659,2008
sábado ,52996,2009
sábado ,61702,2010
sábado ,65643,2011
sábado ,60668,2012
sábado ,62145,2013
sábado ,56812,2014
sábado ,42616,2015
sábado,36770,2016
sábado,37960,2017
sábado,29768,2018
sábado,29047,2019
sábado,27087,2020
sábado,27744,2021
sábado,29220,2022
sábado,29543,2023
sábado,20489,2024
