,fase_dia,qtd,ano
0,Pleno dia,149815,2007
1,Pleno dia,172012,2008
2,Pleno dia,197460,2009
3,Pleno dia,230590,2010
4,Pleno dia,243079,2011
5,Pleno dia,238706,2012
6,Pleno dia,248053,2013
7,Pleno dia,225478,2014
8,Pleno dia,157125,2015
9,Pleno dia,121395,2016
10,Pleno dia,127269,2017
11,Pleno dia,101532,2018
12,Pleno dia,97595,2019
13,Pleno dia,90095,2020
14,Pleno dia,91483,2021
15,Pleno dia,94437,2022
16,Pleno dia,103092,2023
17,Pleno dia,71300,2024
18,Plena Noite,88052,2007
19,Plena Noite,92875,2008
20,Plena Noite,101726,2009
21,Plena Noite,120633,2010
22,Plena Noite,123981,2011
23,Plena Noite,114858,2012
24,Plena Noite,112133,2013
25,Plena Noite,102439,2014
26,Plena Noite,81692,2015
27,Plena Noite,70376,2016
28,Anoitecer,17670,2007
29,Anoitecer,18822,2008
30,Anoitecer,21983,2009
31,Anoitecer,24864,2010
32,Anoitecer,25601,2011
33,Anoitecer,24895,2012
34,Anoitecer,25343,2013
35,Anoitecer,22881,2014
36,Anoitecer,16139,2015
37,Anoitecer,12935,2016
38,Anoitecer,12870,2017
39,Anoitecer,10021,2018
40,Anoitecer,10067,2019
41,Anoitecer,9324,2020
42,Anoitecer,9709,2021
43,Anoitecer,9615,2022
44,Anoitecer,10107,2023
45,Anoitecer,7236,2024
46,Amanhecer,13558,2007
47,Amanhecer,15173,2008
48,Amanhecer,15969,2009
49,Amanhecer,19288,2010
50,Amanhecer,19621,2011
51,Amanhecer,18441,2012
52,Amanhecer,20290,2013
53,Amanhecer,17699,2014
54,Amanhecer,14072,2015
55,Amanhecer,11554,2016
56,Amanhecer,11274,2017
57,Amanhecer,8718,2018
58,Amanhecer,8487,2019
59,Amanhecer,7201,2020
60,Amanhecer,7621,2021
61,Amanhecer,8595,2022
62,Amanhecer,9084,2023
63,Amanhecer,6455,2024
64,Plena Noite,72824,2017
65,Plena Noite,59790,2018
66,Plena Noite,59955,2019
67,Plena Noite,55632,2020
68,Plena Noite,57481,2021
69,Plena Noite,58168,2022
70,Plena Noite,61072,2023
71,Plena Noite,43135,2024
