;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes_2017;acidentes_2018;acidentes_2019;acidentes_2020;acidentes_2021;acidentes_2022;acidentes_2023;acidentes_2024
0;2024-01-01;ES;CONCEICAO DA BARRA;101;38;-18,48261;2024-01-01;0;0;0;0;0;0;0;3
1;2024-01-01;PI;PIRIPIRI;343;185;-4,29603281;2024-01-01;0;0;0;0;0;0;0;2
2;2024-01-01;BA;BREJOES;116;578;-13,07158302;2024-01-01;0;0;0;0;0;0;0;9
3;2024-01-01;SE;MALHADA DOS BOIS;101;18;-10,35601949;2024-01-01;0;0;0;0;0;0;0;3
4;2024-01-01;MT;RONDONOPOLIS;364;240;-16,17914141;2024-01-01;0;0;0;0;0;0;0;10
5;2024-01-01;MG;GRAO MOGOL;251;447;-16,43408996;2024-01-01;0;0;0;0;0;0;0;6
6;2024-01-01;BA;VITORIA DA CONQUISTA;116;852,9;-15,0196651;2024-01-01;0;0;0;0;0;0;0;8
7;2024-01-01;MG;GRAO MOGOL;251;459,7;-16,41473399;2024-01-01;0;0;0;0;0;0;0;6
8;2024-01-01;SP;BARRA DO TURVO;116;550;-24,95749618;2024-01-01;0;0;0;0;0;0;0;10
9;2024-01-01;MG;CAMPOS ALTOS;262;594,4;-19,66568189;2024-01-01;0;0;0;0;0;0;0;1
10;2024-01-01;MT;CUIABA;364;396;-15,69004774;2024-01-01;0;0;0;0;0;0;0;10
11;2024-01-01;PR;ORTIGUEIRA;376;327;-24,06593407;2024-01-01;0;0;0;0;0;0;0;3
12;2024-01-01;MS;BANDEIRANTES;163;551;-19,89996489;2024-01-01;0;0;0;0;0;0;0;3
13;2024-01-01;MT;ROSARIO OESTE;364;542;-14,84114829;2024-01-01;0;0;0;0;0;0;0;2
14;2024-01-01;BA;ITABELA;101;733;-16,489273;2024-01-01;0;0;0;0;0;0;0;8
15;2024-01-01;RS;TRES CACHOEIRAS;101;22;-29,4398072;2024-01-01;0;0;0;0;0;0;0;19
16;2024-01-01;PA;ULIANOPOLIS;10;83,3;-3,721266;2024-01-01;0;0;0;0;0;0;0;4
17;2024-01-02;GO;JARAGUA;153;356;-15,716531;2024-01-02;0;0;0;0;0;0;0;8
18;2024-01-02;SP;SAO JOSE DOS CAMPOS;116;134;-23,1402216;2024-01-02;0;0;0;0;0;0;0;23
19;2024-01-02;RJ;DUQUE DE CAXIAS;40;84;-22,52145512;2024-01-02;0;0;0;0;0;0;0;11
20;2024-01-02;BA;TANQUINHO;324;470;-11,96401516;2024-01-02;0;0;0;0;0;0;0;11
21;2024-01-02;MS;PARANAIBA;158;56;-19,41028002;2024-01-02;0;0;0;0;0;0;0;4
22;2024-01-02;MG;POCOS DE CALDAS;146;483;-21,775688;2024-01-02;0;0;0;0;0;0;0;1
23;2024-01-02;RJ;PETROPOLIS;40;76;-22,47192899;2024-01-02;0;0;0;0;0;0;0;4
24;2024-01-02;MS;CAMPO GRANDE;163;475;-20,51838231;2024-01-02;0;0;0;0;0;0;0;6
25;2024-01-01;BA;PALMEIRAS;242;366;-12,46767097;2024-01-01;0;0;0;0;0;0;0;4
26;2024-01-02;PB;CAAPORA;101;117;-7,41357983;2024-01-02;0;0;0;0;0;0;0;8
27;2024-01-02;MA;SANTA RITA;135;66;-3,10577998;2024-01-02;0;0;0;0;0;0;0;2
28;2024-01-02;MG;MONTES CLAROS;251;522,2;-16,6754567;2024-01-02;0;0;0;0;0;0;0;25
29;2024-01-02;MG;CLARO DOS POCOES;365;29,9;-16,83985022;2024-01-02;0;0;0;0;0;0;0;3
30;2024-01-02;RS;LAGOA VERMELHA;470;53,7;-28,203287;2024-01-02;0;0;0;0;0;0;0;15
31;2024-01-02;MA;SAO LUIS;135;3;-2,606802;2024-01-02;0;0;0;0;0;0;0;4
32;2024-01-02;PI;TERESINA;343;335;-5,061626;2024-01-02;0;0;0;0;0;0;0;4
33;2024-01-02;MT;CACERES;174;90;-15,90673513;2024-01-02;0;0;0;0;0;0;0;3
