;data_inversa;uf;municipio;br;km;latitude;longitude;acidentes
0;2021-01-01;SP;REGISTRO;116;453;-24.56168114;-47.86752174;5
1;2021-01-01;AM;MANAUS;174;937;-2.508068;-60.036434;7
2;2021-01-01;CE;ITAPAJE;222;128,5;-3.707626;-39.623509;13
3;2021-01-01;RJ;MAGE;493;18;-22.6687122;-43.01862696;16
4;2021-01-01;RJ;BARRA DO PIRAI;393;252;-22.43422023;-43.77561487;6
5;2021-01-01;BA;ITAMARAJU;101;818,1;-17.16637837;-39.57859039;2
6;2021-01-01;PR;SAO JOSE DOS PINHAIS;277;51,3;-25.59515989;-48.90700787;8
7;2021-01-01;GO;ALVORADA DO NORTE;20;183;-14.456929;-46.474163;2
8;2021-01-01;SC;INDAIAL;470;79,1;-26.951565;-49.306534;17
9;2021-01-01;MG;BETIM;381;6,8;-19.96825;-44.198708;53
10;2021-01-01;SC;LONTRAS;470;130;-27.16037609;-49.55657959;5
11;2021-01-01;PR;CAMPINA GRANDE DO SUL;116;59;-25.30335724;-48.94378885;10
12;2021-01-01;BA;MANOEL VITORINO;116;709;-14.10719019;-40.22427462;9
13;2021-01-02;PE;ARCOVERDE;424;3,1;-8.45381694;-37.0485949;3
14;2021-01-02;MG;CARMOPOLIS DE MINAS;381;601,7;-20.63243704;-44.73521221;11
15;2021-01-02;GO;FORMOSA;20;7,4;-15.547604;-47.291592;14
16;2021-01-02;PI;SEBASTIAO LEAL;135;96;-7.44562887;-43.83575007;2
17;2021-01-02;MS;DOURADOS;163;248,1;-22.3238991;-54.81909239;4
18;2021-01-02;SC;ITAJAI;101;112;-26.84589005;-48.72131295;53
19;2021-01-02;RS;FONTOURA XAVIER;386;262,3;-28.905546;-52.396584;6
20;2021-01-02;MG;ITATIAIUCU;381;531,5;-20.18182886;-44.37895835;12
21;2021-01-02;MT;NOVA MUTUM;163;582,9;-14.06590909;-56.10266283;16
22;2021-01-02;MG;BETIM;381;484;-19.95531717;-44.11722196;83
23;2021-01-02;RJ;SEROPEDICA;493;99;-22.72869047;-43.71459961;4
24;2021-01-02;SP;MIRACATU;116;362,6;-24.1220177;-47.27047772;45
25;2021-01-02;BA;VITORIA DA CONQUISTA;116;828,8;-14.82955364;-40.83059006;3
26;2021-01-02;MG;PARA DE MINAS;262;418;-19.89963382;-44.69608755;20
27;2021-01-02;ES;ITAPEMIRIM;101;407,9;-20.88946217;-41.03685379;12
28;2021-01-02;MG;UBERABA;50;174,8;-19.770817;-47.973434;13
29;2021-01-02;PI;GEMINIANO;316;331;-7.10702504;-41.27082825;9
30;2021-01-02;TO;ARAGUAINA;153;162,5;-7.33627021;-48.31529575;3
31;2021-01-02;MT;JUSCIMEIRA;364;262;-16.02721181;-54.89305973;2
32;2021-01-02;RS;GUAIBA;116;300,7;-30.12368942;-51.34922543;9
33;2021-01-02;PR;GUARAPUAVA;277;309,1;-25.307524;-51.210171;7
34;2021-01-02;RN;CEARA-MIRIM;101;45,6;-5.48513925;-35.32443409;3
35;2021-01-02;MT;MATUPA;163;1033,7;-10.218324;-54.968977;5
36;2021-01-03;SC;ITAJAI;101;127;-26.9639319;-48.68328024;36
37;2021-01-03;MG;PEDRA AZUL;116;38,7;-15.95802825;-41.40446956;3
38;2021-01-02;BA;JAGUAQUARA;116;636;-13.49889298;-40.05022605;8
39;2021-01-02;BA;JEQUIE;330;812;-14.00882475;-39.904926;4
40;2021-01-03;BA;CACHOEIRA;101;183;-12.53594197;-38.97745507;5
41;2021-01-02;RJ;PETROPOLIS;40;78;-22.48485874;-43.22843406;19
42;2021-01-03;MG;CAMPANHA;381;769,2;-21.77370307;-45.42761992;13
43;2021-01-03;RJ;RIO DE JANEIRO;101;333;-22.87827816;-43.21053578;31
44;2021-01-03;SC;APIUNA;470;104;-27.06135;-49.410408;4
45;2021-01-03;MG;CAMPANHA;381;765,5;-21.73485569;-45.38176417;4
46;2021-01-03;BA;TANQUINHO;324;475,9;-11.9825634;-39.09561159;2
47;2021-01-03;SP;MARILIA;153;266;-22.31250799;-49.8980637;3
48;2021-01-03;SC;CUNHA PORA;158;106,9;-26.870565;-53.162023;5
49;2021-01-03;BA;MARAU;101;428;-14.171413;-39.3242622;2
50;2021-01-03;MT;JANGADA;364;472;-15.44730266;-56.32918067;1
51;2021-01-03;PR;GUARAPUAVA;277;348,5;-25.33928412;-51.42880296;29
52;2021-01-03;MG;PATOS DE MINAS;365;413;-18.6741811;-46.54412894;9
53;2021-01-03;MG;ESTRELA DO SUL;365;550;-18.92981;-47.670565;5
54;2021-01-03;SP;SAO PAULO;116;230,5;-23.52251783;-46.5855702;70
55;2021-01-03;MG;CAETE;381;424,4;-19.78236547;-43.66350085;2
56;2021-01-03;ES;ARACRUZ;101;198,4;-19.71699251;-40.34090606;3
57;2021-01-03;BA;SAO GONCALO DOS CAMPOS;101;185;-12.4374009;-38.9444646;4
58;2021-01-03;MS;BRASILANDIA;158;327,9;-21.15808413;-51.96942991;2
59;2021-01-03;MG;ITAGUARA;381;566,6;-20.42649228;-44.54458383;25
60;2021-01-03;ES;ARACRUZ;101;181;-19.6312501;-40.22615187;26
61;2021-01-03;MT;RONDONOPOLIS;364;228,7;-16.28204993;-54.76703083;2
62;2021-01-03;SC;MAFRA;280;200,5;-26.17422439;-50.07298809;2
63;2021-01-04;MG;MEDINA;116;96,5;-16.40244787;-41.47432334;9
64;2021-01-04;SC;JOINVILLE;101;49,9;-26.38686333;-48.84329438;4
65;2021-01-04;SP;SAO PAULO;381;83;-23.4309671;-46.56998022;22
66;2021-01-04;RS;ESTEIO;116;257,3;-29.85262195;-51.17968329;25
67;2021-01-04;RS;BAGE;153;602,3;-31.19958421;-53.84890885;2
68;2021-01-04;ES;DOMINGOS MARTINS;262;34,9;-20.37309781;-40.5917608;12
69;2021-01-04;RS;PORTO ALEGRE;448;22;-29.972212;-51.199139;11
70;2021-01-04;BA;FEIRA DE SANTANA;324;525;-12.30106981;-38.8977869;11
71;2021-01-03;SC;IBIRAMA;470;123;-27.106783;-49.522049;18
72;2021-01-04;MG;CAMPANHA;381;777,8;-21.82472705;-45.49551193;7
73;2021-01-04;AC;RIO BRANCO;364;129;-10.02882024;-67.82932804;3
74;2021-01-04;PR;CURITIBA;476;136;-25.4960515;-49.27608905;3
75;2021-01-03;MT;VARZEA GRANDE;364;435;-15.64127781;-56.13085281;9
76;2021-01-04;AL;PILAR;101;114,2;-9.63663301;-36.03046002;5
77;2021-01-04;PE;BELO JARDIM;232;171,9;-8.34239456;-36.35216713;12
78;2021-01-04;MG;UBERABA;50;177,1;-19.77914852;-47.95047701;12
79;2021-01-04;RJ;TERESOPOLIS;116;67;-22.29371693;-42.93354335;5
80;2021-01-04;PE;IPOJUCA;101;119;-8.35291472;-35.16929901;10
