classificacao,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos
Com Vítimas Feridas,2,0,0,1,0,2,1,3
Com Vítimas Feridas,3,0,1,0,1,1,1,3
Com Vítimas Feridas,4,0,2,0,1,3,2,5
Com Vítimas Feridas,2,0,1,0,0,1,1,2
Com Vítimas Feridas,3,0,1,0,1,1,1,2
Com Vítimas Feridas,2,0,0,1,1,0,1,2
Com Vítimas Feridas,8,0,1,0,7,0,1,2
Com Vítimas Feridas,3,0,2,0,0,2,2,4
Com Vítimas Feridas,5,0,3,0,1,1,3,3
Com Vítimas Feridas,3,0,0,1,1,1,1,3
Com Vítimas Feridas,3,0,2,0,1,0,2,2
Com Vítimas Feridas,1,0,1,0,0,0,1,1
Com Vítimas Feridas,1,0,1,0,0,0,1,1
Com Vítimas Feridas,3,0,1,0,2,0,1,2
Com Vítimas Feridas,3,0,0,1,2,0,1,2
Com Vítimas Feridas,3,0,1,0,2,0,1,2
Com Vítimas Feridas,2,0,0,1,1,0,1,2
Com Vítimas Feridas,3,0,1,0,1,1,1,3
Com Vítimas Feridas,3,0,3,0,0,0,3,1
Com Vítimas Feridas,2,0,1,0,0,2,1,3
Com Vítimas Feridas,2,0,0,1,1,0,1,2
Com Vítimas Feridas,3,0,0,2,0,1,2,2
Com Vítimas Feridas,4,0,1,0,2,2,1,4
Com Vítimas Feridas,3,0,2,0,1,0,2,2
Com Vítimas Feridas,10,0,1,0,9,0,1,4
Com Vítimas Feridas,7,0,1,0,5,3,1,6
Com Vítimas Feridas,4,0,0,1,2,1,1,4
Com Vítimas Feridas,4,0,1,0,2,1,1,3
Com Vítimas Feridas,6,0,1,1,3,1,2,3
Com Vítimas Feridas,3,0,1,0,1,1,1,3
Com Vítimas Feridas,3,0,2,0,0,1,2,2
Com Vítimas Feridas,6,0,3,0,3,0,3,3
Com Vítimas Feridas,2,0,1,0,0,1,1,2
Com Vítimas Feridas,3,0,1,0,1,1,1,3
Com Vítimas Feridas,5,0,3,0,1,1,3,3
Com Vítimas Feridas,2,0,0,1,1,0,1,2
Com Vítimas Feridas,7,0,1,1,4,1,2,3
Com Vítimas Feridas,3,0,1,0,1,1,1,3
Com Vítimas Feridas,5,0,1,1,2,1,2,3
